,round,source,volume,time
0,5,PAUSE,5,15
1,5,SSC,2,4
2,5,B05,2,5
3,5,B05,2,6
4,5,PAUSE,5,15
5,5,READOUT WASH,2,9
6,5,IMAGING BUFFER,2,6
7,5,RUN,5,5
8,6,CLEAVE,3,15
9,6,PAUSE,5,15
10,6,SSC,2,4
11,6,B06,2,5
12,6,B06,2,6
13,6,PAUSE,5,15
14,6,READOUT WASH,2,9
15,6,IMAGING BUFFER,2,6
16,6,RUN,5,5
17,7,CLEAVE,3,15
18,7,PAUSE,5,15
19,7,SSC,2,4
20,7,B07,2,5
21,7,B07,2,6
22,7,PAUSE,5,15
23,7,READOUT WASH,2,9
24,7,IMAGING BUFFER,2,6
25,7,RUN,5,5
26,8,CLEAVE,3,15
27,8,PAUSE,5,15
28,8,SSC,2,4
29,8,B10,2,5
30,8,B10,2,6
31,8,PAUSE,5,15
32,8,READOUT WASH,2,9
33,8,IMAGING BUFFER,2,6
34,8,RUN,5,5
35,9,SSC,2,4
36,9,B09,2,5
37,9,B09,2,6
38,9,PAUSE,5,15
39,9,SSC,2,4
40,9,IMAGING BUFFER,2,6
41,9,RUN,5,5
