zonal
Wavefront
Acquisition 	2020/10/14 14:47:42.084
Save 	2020/10/14 16:27:59.413

ASO Size : 40 x 32; ASO Step : 114.077560 um x 114.052567 um
Selection : Tilt X 0; Tilt Y 0; Focus 1; Astig 0° 1; Astig 45° 1
Unity : Microns
Area Size : 40 x 32; Area Step : 114.077560 um x 114.052567 um
																																							
																																							
																		-0.038412	-0.035632	-0.037225	-0.034995	-0.034252	-0.039791	-0.046190															
															0.007879	0.014973	0.017883	0.017574	0.022768	0.026036	0.016069	0.005242	-0.005742	-0.014623	-0.007469	-0.022251	-0.049875												
														0.013705	0.026779	0.034875	0.032252	0.032799	0.043958	0.055234	0.049339	0.039241	0.024520	0.014227	0.015519	0.007589	-0.006853	-0.013124											
													0.029108	0.036652	0.043035	0.047260	0.048457	0.046685	0.050353	0.056348	0.053839	0.045532	0.030915	0.021640	0.014511	0.009381	-0.001291	-0.006584	-0.009408	-0.014669									
												0.038951	0.047064	0.050504	0.051911	0.054144	0.058500	0.051845	0.046256	0.046746	0.039293	0.031223	0.028367	0.025780	0.017956	0.010413	0.002230	-0.004920	-0.002869	-0.009370	-0.013156								
											0.038440	0.055437	0.061646	0.058670	0.054172	0.053963	0.055548	0.048115	0.039073	0.036800	0.029379	0.019033	0.015976	0.017915	0.015417	0.009562	0.006357	0.005425	0.008301	0.006437	0.000186								
										0.031243	0.046873	0.063763	0.070434	0.063810	0.058081	0.052041	0.041556	0.033361	0.025270	0.019289	0.013456	0.007845	0.005244	0.008585	0.010434	0.008038	0.007416	0.013102	0.015432	0.021603	0.021293	0.027875							
									0.035567	0.040825	0.051072	0.069963	0.075203	0.065481	0.058969	0.046198	0.023888	0.008073	0.002610	-0.003369	-0.005657	-0.005461	-0.003281	0.002712	0.007801	0.006144	0.005970	0.008229	0.016423	0.020001	0.025360	0.023176	0.039221						
									0.051055	0.051957	0.063150	0.076713	0.079826	0.066255	0.048656	0.032152	0.005872	-0.014980	-0.023107	-0.029486	-0.031163	-0.025337	-0.018153	-0.010102	-0.004060	0.000717	0.002576	0.004744	0.015279	0.020364	0.017455	0.017982	0.017649						
									0.070287	0.067863	0.074109	0.083090	0.078490	0.057657	0.037083	0.016834	-0.008134	-0.029826	-0.041833	-0.048916	-0.052765	-0.042867	-0.033687	-0.027368	-0.020960	-0.010008	-0.005293	-0.000895	0.013354	0.019346	0.020411	0.015909	0.015130						
								0.032215	0.073470	0.072926	0.071873	0.074670	0.068100	0.048229	0.026674	0.004707	-0.019213	-0.041049	-0.051348	-0.056142	-0.058434	-0.051077	-0.045142	-0.040770	-0.035848	-0.025572	-0.011857	-0.003451	0.004846	0.011162	0.019662	0.019355	0.015969	0.017403					
								0.039691	0.059188	0.063507	0.061241	0.059657	0.053856	0.032308	0.011832	-0.009179	-0.032498	-0.056273	-0.059128	-0.055436	-0.055223	-0.053968	-0.052845	-0.052070	-0.047676	-0.035911	-0.019854	-0.004011	0.000652	0.006647	0.015248	0.016861	0.013841	0.029347					
								0.038893	0.051730	0.057607	0.055367	0.049303	0.036844	0.020273	-0.004816	-0.024481	-0.047956	-0.069713	-0.063617	-0.047131	-0.046283	-0.054096	-0.061309	-0.061134	-0.057047	-0.047930	-0.023000	-0.005205	-0.000492	0.004913	0.015439	0.018745	0.012929	0.031853					
								0.031483	0.042679	0.054736	0.049734	0.038008	0.026690	0.007205	-0.015061	-0.037627	-0.058595	-0.074788	-0.068369	-0.047439	-0.039510	-0.051465	-0.067685	-0.068343	-0.066256	-0.048202	-0.025472	-0.014608	-0.003367	0.009058	0.019222	0.022531	0.020290	0.029329					
								0.028839	0.039106	0.054615	0.044294	0.024390	0.013859	-0.003701	-0.025089	-0.045414	-0.062265	-0.076030	-0.073381	-0.051081	-0.043365	-0.056345	-0.069033	-0.070307	-0.062877	-0.049784	-0.035076	-0.021259	-0.009299	0.003263	0.012949	0.016425	0.022948	0.040610					
								0.043737	0.045031	0.043807	0.025585	0.013597	0.002162	-0.015523	-0.034087	-0.050139	-0.060899	-0.070552	-0.080492	-0.068359	-0.058874	-0.067116	-0.069944	-0.063130	-0.049118	-0.044963	-0.041331	-0.030132	-0.010662	-0.000029	0.002729	0.009773	0.024963	0.038496					
								0.050746	0.044968	0.028796	0.008635	0.000300	-0.006801	-0.023863	-0.041595	-0.053226	-0.059627	-0.071258	-0.080180	-0.077785	-0.071971	-0.070896	-0.065199	-0.054245	-0.041966	-0.032993	-0.032757	-0.023412	-0.005546	0.003776	0.005345	0.007891	0.022497						
								0.041222	0.047669	0.022277	-0.004173	-0.007411	-0.013880	-0.028703	-0.043744	-0.051547	-0.059893	-0.074632	-0.080892	-0.074169	-0.067412	-0.058590	-0.053777	-0.049928	-0.039250	-0.025518	-0.024225	-0.018739	-0.004122	0.007855	0.004701	0.004039	0.022581						
