Intensity (Arbitrary Unity)
Acquisition 	2020/10/14 14:17:17.553
Save 	2020/10/14 21:45:00.517

ASO Size : 40 x 32; ASO Step : 114.077560 um x 114.052567 um
Area Size : 160 x 128; Area Step : 28.519390 um x 28.513142 um
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																			0.290364	0.283008	0.277455	0.273926	0.271585	0.271326																																																																							
																																																																															0.366909	0.363811	0.359749	0.354697	0.347599	0.339889	0.333385	0.329624	0.327900	0.327617	0.328373	0.329971	0.333070																																																																				
																																																																											0.373877	0.377326	0.380438	0.382736	0.384960	0.386600	0.386900	0.384914	0.379889	0.373775	0.368835	0.367169	0.368533	0.371153	0.373250	0.373215	0.371373	0.368900	0.366923																																																																		
																																																															0.329416	0.343839	0.356086	0.362780	0.364623	0.364057	0.363414	0.364563	0.366239	0.368261	0.370825	0.374234	0.378880	0.383937	0.388426	0.391532	0.393687	0.395129	0.395975	0.396048	0.394358	0.392402	0.392042	0.395261	0.402737	0.411584	0.418582	0.420848	0.419077	0.415226	0.411126	0.408231	0.405516																																																																
																																																												0.343132	0.352706	0.357412	0.359841	0.361122	0.361646	0.361517	0.359828	0.357683	0.356512	0.357540	0.360263	0.364128	0.368710	0.373894	0.380690	0.387866	0.393828	0.397025	0.397369	0.396527	0.396267	0.397853	0.399823	0.402861	0.408128	0.417244	0.431951	0.448306	0.461666	0.467977	0.468598	0.465770	0.461420	0.456985	0.451070	0.444097	0.436931																																																														
																																																										0.359447	0.365980	0.378832	0.389426	0.390275	0.383883	0.374399	0.365389	0.359657	0.355098	0.351715	0.350152	0.351063	0.354574	0.359863	0.366032	0.372665	0.381273	0.390258	0.397495	0.400805	0.399706	0.397020	0.395839	0.398571	0.403314	0.410196	0.419931	0.433958	0.454858	0.477751	0.496756	0.506804	0.509837	0.508336	0.504298	0.499154	0.491244	0.481352	0.470799	0.461858	0.457967	0.452271																																																											
																																																								0.426839	0.396923	0.386210	0.389968	0.399238	0.406111	0.403572	0.393547	0.380484	0.368436	0.360644	0.354905	0.350915	0.349032	0.349686	0.353189	0.358695	0.365229	0.372318	0.381548	0.391277	0.399313	0.403423	0.403164	0.401360	0.401092	0.404704	0.410101	0.417733	0.428704	0.444910	0.469222	0.495917	0.518147	0.529973	0.533532	0.531914	0.527697	0.522812	0.515420	0.506041	0.495782	0.486712	0.482291	0.475837	0.459320	0.423413	0.362515																																																								
																																																						0.487725	0.475622	0.450796	0.426780	0.415049	0.410473	0.408418	0.405610	0.399099	0.389530	0.378994	0.369478	0.362528	0.356923	0.352746	0.350454	0.350517	0.353032	0.357401	0.362968	0.369480	0.378216	0.387725	0.396103	0.401532	0.404029	0.405391	0.407485	0.411467	0.415152	0.420299	0.429407	0.445649	0.471693	0.500809	0.525164	0.537877	0.541092	0.538832	0.534637	0.531332	0.526963	0.521311	0.514741	0.508455	0.505369	0.500392	0.487325	0.458923	0.410728	0.355929	0.309645																																																						
