Wavefront
Acquisition 	2020/10/14 14:17:17.553
Save 	2020/10/14 21:42:29.816

ASO Size : 40 x 32; ASO Step : 114.077560 um x 114.052567 um
Selection : Tilt X 0; Tilt Y 0; Focus 1; Astig 0° 1; Astig 45° 1
Unity : Microns
Area Size : 160 x 128; Area Step : 28.519390 um x 28.513142 um
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																																																																																															
																																																																																			-0.004039	-0.005267	-0.006923	-0.009101	-0.012549	-0.016175																																																																							
																																																																															-0.009040	-0.007459	-0.006283	-0.006010	-0.006439	-0.007339	-0.008533	-0.009998	-0.012240	-0.014607	-0.016261	-0.016468	-0.015460																																																																				
																																																																											-0.012559	-0.012419	-0.012136	-0.011399	-0.010122	-0.008730	-0.007692	-0.007422	-0.007790	-0.008556	-0.009509	-0.010552	-0.012035	-0.013589	-0.014722	-0.015039	-0.014788	-0.014034	-0.012765																																																																		
																																																															-0.025831	-0.025718	-0.025239	-0.024528	-0.023376	-0.021927	-0.020395	-0.018925	-0.017316	-0.015692	-0.014244	-0.013156	-0.012419	-0.011862	-0.011304	-0.010560	-0.009572	-0.008603	-0.007945	-0.007871	-0.008356	-0.009161	-0.010044	-0.010839	-0.011775	-0.012713	-0.013435	-0.013781	-0.013916	-0.013781	-0.013263	-0.012181	-0.010281																																																																
																																																												-0.027743	-0.029409	-0.029968	-0.029650	-0.028796	-0.027689	-0.026548	-0.025191	-0.023642	-0.021977	-0.020226	-0.018230	-0.016171	-0.014288	-0.012779	-0.011546	-0.010522	-0.009668	-0.008940	-0.008314	-0.007866	-0.007682	-0.007869	-0.008515	-0.009395	-0.010247	-0.010856	-0.011349	-0.011772	-0.012134	-0.012455	-0.012764	-0.013002	-0.013099	-0.012981	-0.012632	-0.012146	-0.011628																																																														
																																																										-0.030501	-0.031526	-0.032796	-0.033652	-0.033514	-0.032554	-0.031123	-0.029533	-0.028041	-0.026509	-0.024864	-0.023076	-0.021076	-0.018737	-0.016298	-0.014047	-0.012212	-0.010618	-0.009272	-0.008231	-0.007557	-0.007270	-0.007282	-0.007496	-0.007870	-0.008579	-0.009431	-0.010176	-0.010583	-0.010688	-0.010673	-0.010717	-0.010964	-0.011320	-0.011766	-0.012309	-0.013007	-0.014040	-0.015109	-0.015849	-0.015933	-0.015443	-0.014596																																																											
																																																								-0.037166	-0.035115	-0.034642	-0.035032	-0.035593	-0.035819	-0.035265	-0.034061	-0.032480	-0.030764	-0.029119	-0.027452	-0.025682	-0.023751	-0.021561	-0.018967	-0.016261	-0.013791	-0.011833	-0.010186	-0.008842	-0.007855	-0.007301	-0.007260	-0.007549	-0.007951	-0.008318	-0.008850	-0.009428	-0.009866	-0.009973	-0.009706	-0.009314	-0.009071	-0.009193	-0.009523	-0.010054	-0.010827	-0.011963	-0.013742	-0.015670	-0.017145	-0.017633	-0.017279	-0.016425	-0.015378	-0.014428	-0.013546																																																								
